customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,NumServices,IsFamily,ContractRisk,ChargeRatio,PaymentRisk
7590-VHVEG,1,0,1,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,29.85,29.85,0,0-6 months,1,1,3,0.9675850891410048,1
5575-GNVDE,0,0,0,0,34,1,0,DSL,1,0,1,0,0,0,One year,0,Mailed check,56.95,1889.5,0,2-4 years,3,0,2,0.03012430573922243,0
3668-QPYBK,0,0,0,0,2,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Mailed check,53.85,108.15,1,0-6 months,3,0,3,0.4933577645442052,0
7795-CFOCW,0,0,0,0,45,0,0,DSL,1,0,1,1,0,0,One year,0,Bank transfer (automatic),42.3,1840.75,0,2-4 years,3,0,2,0.022967286548119994,0
9237-HQITU,1,0,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.7,151.65,1,0-6 months,1,0,3,0.46315099901735995,1
9305-CDSKC,1,0,0,0,8,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.65,820.5,1,6-12 months,5,0,3,0.12130249543517956,1
1452-KIOVK,0,0,0,1,22,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Credit card (automatic),89.1,1949.4,0,1-2 years,4,1,3,0.04568293683347005,0
6713-OKOMC,1,0,0,0,10,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,29.75,301.9,0,6-12 months,1,0,3,0.09821723341036646,0
7892-POOKP,1,0,1,0,28,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.8,3046.05,1,2-4 years,6,1,3,0.03439392199012159,1
6388-TABGU,0,0,0,1,62,1,0,DSL,1,1,0,0,0,0,One year,0,Bank transfer (automatic),56.15,3487.95,0,5+ years,3,1,2,0.01609366714914229,0
9763-GRSKD,0,0,1,1,13,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,49.95,587.45,0,1-2 years,2,1,3,0.0848840173336732,0
7469-LKBCI,0,0,0,0,16,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),18.95,326.8,0,1-2 years,1,0,1,0.05780964002440512,0
8091-TTVAX,0,0,1,0,58,1,1,Fiber optic,0,0,1,0,1,1,One year,0,Credit card (automatic),100.35,5681.1,0,4-5 years,5,1,2,0.017660724028088205,0
